[16:13:36] [INFO] received Windows console close event; shutting log-core down
[16:37:13] [INFO] received Windows console close event; shutting log-core down
[18:47:50] [INFO] received Windows console close event; shutting log-core down
[19:20:59] [INFO] received Windows console close event; shutting log-core down
[19:22:30] [INFO] received Windows console close event; shutting log-core down
[19:26:13] [INFO] received Windows console close event; shutting log-core down
[19:30:57] [INFO] received Windows console close event; shutting log-core down
[19:32:27] [INFO] received Windows console close event; shutting log-core down
[19:39:12] [INFO] received Windows console close event; shutting log-core down
[19:41:43] [INFO] received Windows console close event; shutting log-core down
[19:43:47] [INFO] received Windows console close event; shutting log-core down
[19:50:24] [INFO] received Windows console close event; shutting log-core down
[19:56:40] [INFO] received Windows console close event; shutting log-core down
[19:58:37] [INFO] received Windows console close event; shutting log-core down
[19:59:24] [INFO] received Windows console close event; shutting log-core down
[20:06:17] [INFO] received Windows console close event; shutting log-core down
[20:35:55] [INFO] received Windows console close event; shutting log-core down
[21:25:09] [INFO] received Windows console close event; shutting log-core down
[21:30:46] [INFO] received Windows console close event; shutting log-core down
[21:35:14] [INFO] received Windows console close event; shutting log-core down
[21:44:28] [INFO] received Windows console close event; shutting log-core down
[21:59:56] [INFO] received Windows console close event; shutting log-core down
[22:31:55] [INFO] received Windows console close event; shutting log-core down
[22:32:10] [INFO] received Windows console close event; shutting log-core down
[22:36:12] [INFO] received Windows console close event; shutting log-core down
[22:44:26] [INFO] received Windows console close event; shutting log-core down
[22:51:45] [INFO] received Windows console close event; shutting log-core down
[01:01:39] [INFO] received Windows console close event; shutting log-core down
[01:02:03] [INFO] received Windows console close event; shutting log-core down
[16:16:21] [INFO] received Windows console close event; shutting log-core down
[16:24:08] [INFO] received Windows console close event; shutting log-core down
[16:26:24] [INFO] received Windows console close event; shutting log-core down
[10:28:13] [INFO] received Windows console close event; shutting log-core down
[10:46:36] [INFO] received Windows console close event; shutting log-core down
[11:50:55] [INFO] received Windows console close event; shutting log-core down
[11:54:13] [INFO] received Windows console close event; shutting log-core down
[11:54:32] [INFO] received Windows console close event; shutting log-core down
[11:55:02] [INFO] received Windows console close event; shutting log-core down
[11:55:40] [INFO] received Windows console close event; shutting log-core down
[11:58:05] [INFO] received Windows console close event; shutting log-core down
[12:01:03] [INFO] received Windows console close event; shutting log-core down
[12:04:15] [INFO] received Windows console close event; shutting log-core down
[12:05:02] [INFO] received Windows console close event; shutting log-core down
[12:07:08] [INFO] received Windows console close event; shutting log-core down
[12:07:29] [INFO] received Windows console close event; shutting log-core down
[12:08:16] [INFO] received Windows console close event; shutting log-core down
[12:11:56] [INFO] received Windows console close event; shutting log-core down
[12:14:04] [INFO] received Windows console close event; shutting log-core down
[12:15:03] [INFO] received Windows console close event; shutting log-core down
[12:16:33] [INFO] received Windows console close event; shutting log-core down
[12:19:19] [INFO] received Windows console close event; shutting log-core down
[12:21:59] [INFO] received Windows console close event; shutting log-core down
[12:26:07] [INFO] received Windows console close event; shutting log-core down
[12:35:27] [INFO] received Windows console close event; shutting log-core down
[12:38:48] [INFO] received Windows console close event; shutting log-core down
[00:44:02] [INFO] received Windows console close event; shutting log-core down
[00:47:11] [INFO] received Windows console close event; shutting log-core down
[00:50:58] [INFO] received Windows console close event; shutting log-core down
[00:53:18] [INFO] received Windows console close event; shutting log-core down
[01:01:33] [INFO] received Windows console close event; shutting log-core down
[01:02:51] [INFO] received Windows console close event; shutting log-core down
[01:04:30] [INFO] received Windows console close event; shutting log-core down
[01:06:11] [INFO] received Windows console close event; shutting log-core down
[01:11:36] [INFO] received Windows console close event; shutting log-core down
[01:12:55] [INFO] received Windows console close event; shutting log-core down
[20:48:07] [INFO] received Windows console close event; shutting log-core down
[20:49:09] [INFO] received Windows console close event; shutting log-core down
[20:52:12] [INFO] received Windows console close event; shutting log-core down
[20:56:07] [INFO] received Windows console close event; shutting log-core down
[20:57:15] [INFO] received Windows console close event; shutting log-core down
[21:01:27] [INFO] received Windows console close event; shutting log-core down
[21:02:18] [INFO] received Windows console close event; shutting log-core down
[21:03:03] [INFO] received Windows console close event; shutting log-core down
[21:04:18] [INFO] received Windows console close event; shutting log-core down
[21:05:54] [INFO] received Windows console close event; shutting log-core down
[21:07:07] [INFO] received Windows console close event; shutting log-core down
[21:07:53] [INFO] received Windows console close event; shutting log-core down
[21:08:59] [INFO] received Windows console close event; shutting log-core down
[21:10:04] [INFO] received Windows console close event; shutting log-core down
[21:14:43] [INFO] received Windows console close event; shutting log-core down
[21:15:20] [INFO] received Windows console close event; shutting log-core down
[21:16:25] [INFO] received Windows console close event; shutting log-core down
[21:17:14] [INFO] received Windows console close event; shutting log-core down
[21:19:25] [INFO] received Windows console close event; shutting log-core down
[21:27:23] [INFO] received Windows console close event; shutting log-core down
[21:35:16] [INFO] received Windows console close event; shutting log-core down
[21:39:21] [INFO] received Windows console close event; shutting log-core down
[21:40:47] [INFO] received Windows console close event; shutting log-core down
[23:44:27] [INFO] received Windows console close event; shutting log-core down
[23:55:17] [INFO] received Windows console close event; shutting log-core down
[00:00:40] [INFO] received Windows console close event; shutting log-core down
[00:03:47] [INFO] received Windows console close event; shutting log-core down
[00:04:36] [INFO] received Windows console close event; shutting log-core down
[00:11:58] [INFO] received Windows console close event; shutting log-core down
[00:17:47] [INFO] received Windows console close event; shutting log-core down
[00:26:22] [INFO] received Windows console close event; shutting log-core down
[00:29:39] [INFO] received Windows console close event; shutting log-core down
[00:31:42] [INFO] received Windows console close event; shutting log-core down
[00:45:48] [INFO] received Windows console close event; shutting log-core down
[00:47:18] [INFO] received Windows console close event; shutting log-core down
[00:50:58] [INFO] received Windows console close event; shutting log-core down
[17:16:41] [INFO] received Windows console close event; shutting log-core down
[17:24:02] [INFO] received Windows console close event; shutting log-core down
[17:24:38] [INFO] received Windows console close event; shutting log-core down
[17:41:33] [INFO] received Windows console close event; shutting log-core down
[17:47:29] [INFO] received Windows console close event; shutting log-core down
[17:49:34] [INFO] received Windows console close event; shutting log-core down
[17:51:04] [INFO] received Windows console close event; shutting log-core down
[17:51:29] [INFO] received Windows console close event; shutting log-core down
[17:53:06] [INFO] received Windows console close event; shutting log-core down
[17:53:57] [INFO] received Windows console close event; shutting log-core down
[18:06:24] [INFO] received Windows console close event; shutting log-core down
[18:17:11] [INFO] received Windows console close event; shutting log-core down
[18:20:51] [INFO] received Windows console close event; shutting log-core down
[18:25:59] [INFO] received Windows console close event; shutting log-core down
[19:32:01] [INFO] received Windows console close event; shutting log-core down
[19:33:18] [INFO] received Windows console close event; shutting log-core down
[20:09:01] [INFO] received Windows console close event; shutting log-core down
[20:14:46] [INFO] received Windows console close event; shutting log-core down
[20:19:39] [INFO] received Windows console close event; shutting log-core down
[20:23:33] [INFO] received Windows console close event; shutting log-core down
[20:27:47] [INFO] received Windows console close event; shutting log-core down
[20:36:13] [INFO] received Windows console close event; shutting log-core down
[20:37:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:39:36] [INFO] received Windows console close event; shutting log-core down
[20:42:31] [INFO] received Windows console close event; shutting log-core down
[20:49:05] [INFO] received Windows console close event; shutting log-core down
[20:50:51] [INFO] received Windows console close event; shutting log-core down
[21:01:46] [INFO] received Windows console close event; shutting log-core down
